bar_time,close,m30_sma5,m30_sma13,m30_dist%,m30_cross,h2_dist%,h2_dir,signal
2026-06-12 10:00:00,4206.865,4206.195,4191.572,-0.3477,NONE,-0.3223,NEUTRAL,NO_SIGNAL
2026-06-12 10:30:00,4210.733,4207.102,4193.046,-0.3341,NONE,-0.3223,NEUTRAL,NO_SIGNAL
2026-06-12 11:00:00,4202.435,4206.169,4193.768,-0.2948,NONE,-0.3223,NEUTRAL,NO_SIGNAL
2026-06-12 11:30:00,4207.017,4206.339,4194.787,-0.2746,NONE,-0.3223,NEUTRAL,NO_SIGNAL
2026-06-12 12:00:00,4201.146,4205.3,4195.276,-0.2384,NONE,-0.2883,NEUTRAL,NO_SIGNAL
2026-06-12 12:30:00,4191.873,4202.615,4195.015,-0.1808,NONE,-0.2883,NEUTRAL,NO_SIGNAL
2026-06-12 13:00:00,4202.946,4202.681,4195.625,-0.1679,NONE,-0.2883,NEUTRAL,NO_SIGNAL
2026-06-12 13:30:00,4186.226,4199.39,4194.902,-0.1069,NONE,-0.2883,NEUTRAL,NO_SIGNAL
2026-06-12 14:00:00,4188.759,4197.264,4194.429,-0.0675,NONE,-0.3338,NEUTRAL,NO_SIGNAL
2026-06-12 14:30:00,4204.055,4198.622,4195.17,-0.0822,NONE,-0.3338,NEUTRAL,NO_SIGNAL
2026-06-12 15:00:00,4225.948,4204.087,4197.537,-0.1558,NONE,-0.3338,NEUTRAL,NO_SIGNAL
2026-06-12 15:30:00,4211.904,4205.651,4198.642,-0.1666,NONE,-0.3338,NEUTRAL,NO_SIGNAL
2026-06-12 16:00:00,4217.179,4207.956,4200.068,-0.1875,NONE,-0.3898,NEUTRAL,NO_SIGNAL
2026-06-12 16:30:00,4216.119,4209.589,4201.303,-0.1968,NONE,-0.3898,NEUTRAL,NO_SIGNAL
2026-06-12 17:00:00,4219.0,4211.471,4202.664,-0.2091,NONE,-0.3898,NEUTRAL,NO_SIGNAL
2026-06-12 17:30:00,4221.41,4213.459,4204.106,-0.222,NONE,-0.3898,NEUTRAL,NO_SIGNAL
2026-06-12 18:00:00,4226.522,4216.071,4205.831,-0.2429,NONE,-0.3936,NEUTRAL,NO_SIGNAL
2026-06-12 18:30:00,4215.692,4215.996,4206.589,-0.2231,NONE,-0.3936,NEUTRAL,NO_SIGNAL
2026-06-12 19:00:00,4208.642,4214.525,4206.747,-0.1845,NONE,-0.3936,NEUTRAL,NO_SIGNAL
2026-06-12 19:30:00,4210.559,4213.732,4207.04,-0.1588,NONE,-0.3936,NEUTRAL,NO_SIGNAL
2026-06-12 20:00:00,4214.361,4213.858,4207.603,-0.1484,NONE,-0.4138,NEUTRAL,NO_SIGNAL
2026-06-12 20:30:00,4218.665,4214.819,4208.454,-0.151,NONE,-0.4138,NEUTRAL,NO_SIGNAL
2026-06-14 22:00:00,4287.152,4229.286,4214.508,-0.3494,NONE,-0.6402,BEAR,NO_SIGNAL
2026-06-14 22:30:00,4285.709,4240.57,4219.985,-0.4854,NONE,-0.6402,BEAR,NO_SIGNAL
2026-06-14 23:00:00,4283.098,4249.076,4224.84,-0.5704,NONE,-0.6402,BEAR,NO_SIGNAL
2026-06-14 23:30:00,4293.94,4258.049,4230.155,-0.6551,NONE,-0.6402,BEAR,NO_SIGNAL
2026-06-15 00:00:00,4300.737,4266.586,4235.585,-0.7266,NONE,-0.8616,BEAR,NO_SIGNAL
2026-06-15 00:30:00,4292.396,4271.748,4239.955,-0.7443,NONE,-0.8616,BEAR,NO_SIGNAL
2026-06-15 01:00:00,4303.32,4278.063,4244.829,-0.7768,NONE,-0.8616,BEAR,NO_SIGNAL
2026-06-15 01:30:00,4316.783,4285.807,4250.364,-0.827,NONE,-0.8616,BEAR,NO_SIGNAL
2026-06-15 02:00:00,4327.907,4294.227,4256.329,-0.8825,NONE,-1.0339,BEAR,NO_SIGNAL
2026-06-15 02:30:00,4329.413,4301.264,4261.951,-0.914,NONE,-1.0339,BEAR,NO_SIGNAL
2026-06-15 03:00:00,4324.08,4305.827,4266.73,-0.908,NONE,-1.0339,BEAR,NO_SIGNAL
2026-06-15 03:30:00,4325.067,4309.675,4271.217,-0.8924,NONE,-1.0339,BEAR,NO_SIGNAL
2026-06-15 04:00:00,4326.82,4313.104,4275.494,-0.872,NONE,-1.102,BEAR,NO_SIGNAL
2026-06-15 04:30:00,4328.359,4316.155,4279.561,-0.8478,NONE,-1.102,BEAR,NO_SIGNAL
2026-06-15 05:00:00,4330.069,4318.938,4283.446,-0.8218,NONE,-1.102,BEAR,NO_SIGNAL
2026-06-15 05:30:00,4310.17,4317.184,4285.502,-0.7339,NONE,-1.102,BEAR,NO_SIGNAL
2026-06-15 06:00:00,4305.113,4314.77,4287.01,-0.6434,NONE,-1.1711,BEAR,NO_SIGNAL
2026-06-15 06:30:00,4308.245,4313.465,4288.644,-0.5754,NONE,-1.1711,BEAR,NO_SIGNAL
2026-06-15 07:00:00,4316.608,4314.094,4290.795,-0.5401,NONE,-1.1711,BEAR,NO_SIGNAL
2026-06-15 07:30:00,4322.971,4315.869,4293.27,-0.5236,NONE,-1.1711,BEAR,NO_SIGNAL
2026-06-15 08:00:00,4328.341,4318.363,4295.968,-0.5186,NONE,-1.2426,BEAR,NO_SIGNAL
2026-06-15 08:30:00,4334.326,4321.556,4298.918,-0.5238,NONE,-1.2426,BEAR,NO_SIGNAL
2026-06-15 09:00:00,4339.252,4325.095,4302.021,-0.5335,NONE,-1.2426,BEAR,NO_SIGNAL
2026-06-15 09:30:00,4336.791,4327.434,4304.696,-0.5255,NONE,-1.2426,BEAR,NO_SIGNAL
2026-06-15 10:00:00,4338.554,4329.658,4307.3,-0.5164,NONE,-1.2719,BEAR,NO_SIGNAL
2026-06-15 10:30:00,4337.97,4331.321,4309.659,-0.5001,NONE,-1.2719,BEAR,NO_SIGNAL
2026-06-15 11:00:00,4340.792,4333.215,4312.054,-0.4883,NONE,-1.2719,BEAR,NO_SIGNAL
2026-06-15 11:30:00,4335.355,4333.643,4313.847,-0.4568,NONE,-1.2719,BEAR,NO_SIGNAL
2026-06-15 12:00:00,4337.435,4334.401,4315.661,-0.4324,NONE,-1.3294,BEAR,NO_SIGNAL
2026-06-15 12:30:00,4348.814,4337.284,4318.211,-0.4397,NONE,-1.3294,BEAR,NO_SIGNAL
2026-06-15 13:00:00,4353.145,4340.456,4320.898,-0.4506,NONE,-1.3294,BEAR,NO_SIGNAL
2026-06-15 13:30:00,4355.278,4343.42,4323.543,-0.4576,NONE,-1.3294,BEAR,NO_SIGNAL
2026-06-15 14:00:00,4363.464,4347.429,4326.614,-0.4788,NONE,-1.354,BEAR,NO_SIGNAL
2026-06-15 14:30:00,4356.812,4349.306,4328.937,-0.4683,NONE,-1.354,BEAR,NO_SIGNAL
2026-06-15 15:00:00,4353.85,4350.215,4330.853,-0.4451,NONE,-1.354,BEAR,NO_SIGNAL
2026-06-15 15:30:00,4356.337,4351.439,4332.813,-0.428,NONE,-1.354,BEAR,NO_SIGNAL
2026-06-15 16:00:00,4343.171,4349.785,4333.61,-0.3719,NONE,-1.2627,BEAR,NO_SIGNAL
2026-06-15 16:30:00,4339.031,4347.635,4334.027,-0.313,NONE,-1.2627,BEAR,NO_SIGNAL
2026-06-15 17:00:00,4329.958,4344.099,4333.714,-0.2391,NONE,-1.2627,BEAR,NO_SIGNAL
2026-06-15 17:30:00,4324.588,4340.197,4333.012,-0.1655,NONE,-1.2627,BEAR,NO_SIGNAL
2026-06-15 18:00:00,4324.802,4337.118,4332.381,-0.1092,NONE,-1.1647,BEAR,NO_SIGNAL
2026-06-15 18:30:00,4325.804,4334.855,4331.875,-0.0688,NONE,-1.1647,BEAR,NO_SIGNAL
2026-06-15 19:00:00,4321.486,4332.181,4331.076,-0.0255,GOLDEN,-1.1647,BEAR,M30_GOLDEN_no_H2
2026-06-15 19:30:00,4320.608,4329.867,4330.27,0.0093,NONE,-1.1647,BEAR,NO_SIGNAL
2026-06-15 20:00:00,4312.824,4326.458,4328.928,0.0571,NONE,-1.0411,BEAR,NO_SIGNAL
2026-06-15 20:30:00,4308.686,4322.904,4327.371,0.1033,NONE,-1.0411,BEAR,NO_SIGNAL
2026-06-15 22:00:00,4308.308,4319.985,4325.905,0.137,NONE,-0.9534,BEAR,NO_SIGNAL
2026-06-15 22:30:00,4311.954,4318.378,4324.832,0.1494,NONE,-0.9534,BEAR,NO_SIGNAL
2026-06-15 23:00:00,4315.385,4317.78,4324.105,0.1465,NONE,-0.9534,BEAR,NO_SIGNAL
2026-06-15 23:30:00,4315.715,4317.367,4323.46,0.1411,NONE,-0.9534,BEAR,NO_SIGNAL
2026-06-16 00:00:00,4308.383,4315.57,4322.3,0.1559,NONE,-0.8676,BEAR,NO_SIGNAL
